Spread,Trade,Open,High,Low,Close
1*CLF24-2*CLG24+1*CLH24-1*CLV24+2*CLX24-1*CLZ24,Long,-0.01,0.04,-0.04,0.04
1*CLF23-2*CLG23+1*CLH23-1*CLV23+2*CLX23-1*CLZ23,Long,0.24,0.28,-0.03,-0.03
1*CLF22-2*CLG22+1*CLH22-1*CLV22+2*CLX22-1*CLZ22,Long,0,0.09,-0.02,-0.02
1*CLF21-2*CLG21+1*CLH21-1*CLV21+2*CLX21-1*CLZ21,Long,0,0.03,-0.05,-0.02
1*CLF20-2*CLG20+1*CLH20-1*CLV20+2*CLX20-1*CLZ20,Long,-0.02,0.07,-0.08,-0.01
1*CLF19-2*CLG19+1*CLH19-1*CLV19+2*CLX19-1*CLZ19,Long,0.05,0.11,-0.04,0
1*CLF18-2*CLG18+1*CLH18-1*CLV18+2*CLX18-1*CLZ18,Long,-0.03,-0.01,-0.11,-0.09
1*CLF17-2*CLG17+1*CLH17-1*CLV17+2*CLX17-1*CLZ17,Long,-0.06,-0.05,-0.13,-0.06
1*CLF16-2*CLG16+1*CLH16-1*CLV16+2*CLX16-1*CLZ16,Long,-0.05,0.01,-0.16,-0.08
,,,,,
Spread,Trade,Open,High,Low,Close
1*CLF25-2*CLG25+1*CLH25-1*CLN24+2*CLQ24-1*CLU24,Long,0.03,0.04,-0.03,0
1*CLF24-2*CLG24+1*CLH24-1*CLN23+2*CLQ23-1*CLU23,Long,0,0.01,-0.08,-0.04
1*CLF23-2*CLG23+1*CLH23-1*CLN22+2*CLQ22-1*CLU22,Long,-0.01,0.02,-0.02,0.01
1*CLF22-2*CLG22+1*CLH22-1*CLN21+2*CLQ21-1*CLU21,Long,0.02,0.05,-0.02,0.03
1*CLF21-2*CLG21+1*CLH21-1*CLN20+2*CLQ20-1*CLU20,Long,0,0.04,-0.03,0.04
1*CLF20-2*CLG20+1*CLH20-1*CLN19+2*CLQ19-1*CLU19,Long,-0.01,0.03,-0.04,-0.03
1*CLF19-2*CLG19+1*CLH19-1*CLN18+2*CLQ18-1*CLU18,Long,0.01,0.02,-0.02,0
1*CLF18-2*CLG18+1*CLH18-1*CLN17+2*CLQ17-1*CLU17,Long,-0.03,0.01,-0.04,-0.02
1*CLF17-2*CLG17+1*CLH17-1*CLN16+2*CLQ16-1*CLU16,Long,0.02,0.04,-0.02,-0.02
,,,,,
Spread,Trade,Open,High,Low,Close
1*CLF25-2*CLG25+1*CLH25-1*CLV24+2*CLX24-1*CLZ24,Long,-0.08,-0.01,-0.2,-0.12
1*CLF24-2*CLG24+1*CLH24-1*CLV23+2*CLX23-1*CLZ23,Long,0.02,0.12,-0.04,0.12
1*CLF23-2*CLG23+1*CLH23-1*CLV22+2*CLX22-1*CLZ22,Long,-0.11,0.43,-0.25,0.15
